Country of Birth,Total,%,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
El Salvador,76,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,2,2,,,,1,,1,1,,1,,1,1,1,2,9,9,1,2,,12,,,,,1,,,1,2,1,,1,4,13,3,1
Ellice Islands,9,0.00%,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
England,180695,19.42%,9429,21,81,116,96,131,186,181,327,236,221,250,314,135,145,161,147,154,231,222,305,360,213,379,946,1844,2837,3003,8416,6449,3532,3390,4997,7086,3803,3869,4142,4648,5022,7188,5408,4535,3624,2792,3272,2441,2338,2478,2245,2515,3495,3069,2540,1833,1916,1989,2061,2473,3067,3025,2558,2233,3758,3805,3294,2933,2637,3172,3974,3787,3433,2782
Eritrea,303,0.03%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,5,15,19,12,8,4,23,23,6,1,2,8,44,26,11,11,6,36,22,16
Estonia,223,0.02%,3,3,,,2,11,20,14,22,13,13,23,3,4,2,3,7,5,6,1,3,4,,3,2,,1,,1,2,2,,1,2,,1,1,,1,1,,,,,,,,,,,1,1,2,1,,4,,,3,1,2,,2,3,3,,1,5,3,6,2,3
Ethiopia,2060,0.22%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,3,1,1,1,1,,2,1,,1,6,,3,3,,4,14,37,101,79,111,156,104,98,92,72,104,108,89,47,54,60,112,65,69,94,123,87,97,50
Falkland Islands,180,0.02%,1,,,,,,,,,,,,,,,1,,,,,,,,,11,11,10,22,22,19,4,4,4,7,3,5,2,4,9,9,7,4,2,,,,,1,1,1,1,,2,,,,,1,,2,1,1,,1,,,1,1,2,1,2,
Faroe Islands,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Federal Republic of Germany,405,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,13,10,16,18,38,44,45,55,60,38,34,29,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Federated States of Micronesia,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Federation of Rhodesia and Nyasaland,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Fiji,52850,5.68%,221,,4,3,4,7,3,14,17,24,9,11,7,27,40,28,35,36,70,56,78,49,113,108,116,115,100,127,257,285,178,185,222,199,163,136,137,186,228,418,430,648,1015,1371,1786,1612,922,922,809,740,1103,1253,1278,1150,1055,1459,1554,1697,1731,1939,1536,1307,1212,2081,2093,2235,2365,2695,3242,2542,2013,1039
Finland,417,0.04%,1,1,3,1,2,2,2,2,1,4,5,2,,,4,2,2,1,2,2,6,3,10,4,2,2,2,4,9,13,5,4,4,5,3,4,5,3,1,1,4,3,3,1,3,4,2,3,1,6,1,2,4,1,15,8,8,10,8,13,10,8,10,16,18,18,15,24,25,16,14,14
Former Yugoslav Republic of Macedonia,11,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
