Country of Birth,Total,%,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Republic of Azerbaijan,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Republic of Georgia,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Republic of Ireland,3344,0.36%,618,,1,,,1,3,7,13,,2,1,1,,1,,2,5,1,4,6,8,9,7,16,32,41,69,100,129,71,59,72,139,81,84,68,82,110,155,141,135,109,72,112,90,57,74,62,75,83,69,60,9,12,20,20,37,28,23,3,1,4,8,8,6,6,8,6,5,2,1
Republic of Korea,658,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,283,214,100
Republic of Moldova,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Republic of Maldives,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Republic of the Congo,13,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,2,,1,,,2,
Reunion,4,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,1,,,
Rhodesia,717,0.08%,2,,,,,,,,,,,,,,,,,,,,2,8,4,11,13,11,22,21,43,77,54,23,49,,,,,1,,,2,3,2,,1,2,,9,21,38,13,,3,24,15,34,19,25,29,14,9,10,12,9,12,17,10,14,7,10,9,3
Rhodesia and Nyasaland,19,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,,1,2,1,1,,1,1,,,,
Romania,3467,0.37%,1,,,2,,3,3,25,68,91,63,54,39,25,32,11,26,24,34,29,17,15,16,28,24,13,11,13,11,12,10,11,3,5,3,4,17,20,17,16,22,4,5,14,17,13,15,43,36,54,50,35,36,43,66,139,221,366,234,109,52,37,158,194,123,110,84,95,79,93,83,41
Rurutu,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,5194,0.56%,3,3,2,,4,4,8,17,10,8,8,13,10,4,2,2,8,3,8,2,4,,2,5,1,,1,1,4,2,1,3,6,5,4,4,,1,2,,,,,,,,4,21,8,41,346,315,154,231,252,307,352,321,268,175,127,97,149,187,241,205,178,205,229,280,240,96
Russian Federation,188,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,29,27,34,36,43
Russian Soviet Federative Socialist Republic,72,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
Rwanda,110,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,5,16,2,8,7,,8,3,5,1,3,9,11,9,5,2,1,5,2,3
Rwanda-Burundi,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Sabah,6,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,36118,3.88%,1,,,,,,2,,4,,1,1,2,,3,1,,,,,1,,,,1,,,,,,,,,1,,,1,,,1,,2,,,,,,,1,,2,19,49,595,825,924,1029,1214,1237,1287,1398,1776,1924,2824,2777,2517,2654,2959,2871,3113,2770,1331
Sarawak,128,0.01%,1,,,,,,,,,,,,,,,,,,1,,,1,,,1,1,1,,2,,1,,1,4,,6,2,,4,6,4,4,5,2,7,8,13,5,12,7,10,3,12,,,1,,,,,1,,,,1,1,,,,,,
Saudi Arabia,828,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,1,1,1,2,,1,6,1,10,6,2,10,15,20,43,42,31,13,18,28,37,32,24,29,16,32,24,35,31,33,31,58,62,94,35
Scotland,25943,2.79%,3430,1,13,19,11,28,31,26,53,37,34,38,32,31,16,12,19,8,27,27,39,49,33,54,84,209,377,406,1103,798,439,418,809,1064,494,533,583,678,733,1143,895,656,498,382,462,313,344,359,321,352,470,391,299,242,241,268,242,287,331,279,261,224,411,421,357,360,276,388,492,517,354,311
Senegal,15,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,1,1,,,2,1,,,,,,,,1,,,,,2,,2,1,,,1,
Serbia,275,0.03%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,27,16,11,6,29,20,25,18,10,19,36,28,11
Serbia and Montenegro,62,0.01%,,,,,,,1,3,2,2,,1,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,15,19,1,,,,1,,,,,,,,,
Seychelles,123,0.01%,3,,,,,,,,,,,,,1,,,,,,,,,,3,2,,,1,6,5,4,1,6,4,1,1,2,,3,1,4,3,2,6,4,,2,2,1,,1,1,,,,3,,3,5,1,3,,2,2,6,3,3,2,3,9,5,3
Sharjah,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Siam,2,0.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,67,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,1,,,,2,,,1,,1,,,2,,,4,1,,,1,3,2,4,9,6,7,,2,6,1,1,2,,1,,2,1,1,1,,,
Singapore,3752,0.40%,16,,,,,,1,,2,1,5,1,,1,,1,4,,6,4,7,6,7,5,24,27,28,34,57,79,39,75,72,69,57,49,45,57,61,58,58,68,59,52,73,61,57,55,65,66,92,117,96,92,84,95,94,124,119,89,82,90,73,143,98,73,111,101,118,150,110,89
Slovakia,238,0.03%,1,,,,,1,1,4,2,3,,3,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,1,9,25,16,12,17,5,3,3,8,5,9,14,17,19,12,16,14,8
Slovenia,160,0.02%,,,,,,,1,,2,2,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,6,7,4,1,3,6,2,13,2,2,1,3,5,3,6,8,8,4,20,11,10
Society Islands,5,0.00%,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,262,0.03%,2,,,,,,,,,,,,,2,,2,,1,1,1,,2,1,1,2,,2,1,3,6,5,3,2,4,,3,4,4,2,4,4,1,1,1,6,5,2,2,1,3,2,4,4,8,5,6,2,9,8,5,5,4,6,8,7,21,10,19,8,14,16,7
Somalia,3761,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,,,2,5,16,26,3,33,108,191,278,259,316,412,264,294,190,245,171,186,133,57,35,54,62,76,61,32,75,49,74,50
South Africa,62732,6.74%,140,,,6,3,1,5,11,8,12,5,20,129,69,133,243,137,27,30,38,30,48,36,65,91,69,56,75,172,341,190,196,160,186,108,133,120,166,198,200,225,351,293,234,280,334,203,363,938,1182,1652,2011,2040,1977,1997,2411,2446,2812,3124,2413,1808,1339,2105,2784,3268,3689,3532,3636,2894,2691,2463,1580
South Korea,517,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1,2,,1,,1,1,,3,,1,2,1,2,,,,,,,,106,28,17,16,48,14,,,,,,,,41,48,40,28,31,41,18,20,2
South Sudan,24,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,5,3,2,1,1,4
South Vietnam,314,0.03%,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,1,,1,1,,,,12,,2,,,,,,1,1,1,,,,43,19,11,12,51,68,66,9,1,3,,1,,,2,,,,,1,1,1,,1,,
South West Africa,90,0.01%,,,,,,,,,,,,,1,,1,5,,,5,,,2,,,1,,,1,,1,,1,2,,,,1,1,1,,,2,3,1,1,,2,,1,2,4,9,10,2,1,,,2,5,3,1,2,,3,3,2,2,3,2,,1,
Southern Rhodesia,1328,0.14%,1,,,,,,,1,,1,1,2,,,3,3,9,2,,8,,2,,,1,,2,,7,2,3,4,8,43,32,31,20,15,55,49,31,53,42,29,47,31,26,25,44,43,84,97,134,27,12,20,46,42,42,27,25,16,13,16,12,12,7,10,3,3,3,1
Spain,504,0.05%,1,,,,1,,1,1,,,,2,1,1,,,,1,,2,2,,,3,1,,1,3,13,10,12,5,5,7,5,10,,3,5,4,4,2,3,3,3,4,3,4,3,5,3,13,10,4,4,3,3,10,13,4,6,3,14,10,15,13,26,20,39,58,50,49
Sri Lanka,9909,1.06%,,,,,,,,,,,,,,,,,1,1,2,,,,,1,9,15,39,25,48,130,49,60,37,23,7,9,2,12,5,6,35,41,45,37,76,57,53,63,71,136,320,295,340,542,472,513,439,436,482,392,296,235,158,201,264,328,439,519,679,637,544,283
St Helena,15,0.00%,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,1,1,1,1,,
St Kitts and Nevis,7,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,,,,1,,
St Lucia,16,0.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,1,3,1,1,
St Maarten,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
St Vincent,18,0.00%,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,,2,,,2,1,4,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
St Vincent and the Grenadines,8,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,,1,,2,,
Sudan,860,0.09%,2,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,2,2,,1,1,1,,,1,,,1,,1,,,1,2,3,2,,5,17,23,28,55,68,45,33,38,77,54,50,31,32,40,68,37,32,21,20,36,13,14
Suriname,17,0.00%,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,,1,,2,1,,1,,,,1
Swains Island,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,82,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,3,3,1,1,,,1,1,,1,3,,,,1,,,1,4,3,2,5,3,3,7,1,1,3,4,1,1,1,3,2,3,5,2,2,3,2,2
Sweden,1025,0.11%,6,3,6,1,2,1,1,3,,6,5,2,4,,3,1,1,1,2,,2,1,,4,2,1,2,3,3,9,8,8,10,6,3,3,1,3,10,5,2,7,8,4,10,10,9,3,4,6,5,8,25,28,34,19,15,36,32,30,23,47,50,58,61,69,48,57,61,53,42,29
Switzerland,3317,0.36%,8,9,9,7,5,6,8,9,8,16,10,19,14,8,24,17,21,26,31,16,43,23,22,46,30,48,43,30,72,139,154,71,88,58,60,70,60,66,94,55,56,88,57,57,71,69,72,66,59,93,86,77,69,47,61,52,60,51,50,34,25,28,36,49,46,38,41,51,52,63,44,26
Syria,754,0.08%,,,,,,,1,,,,,,,,,,1,,2,,,,,,,1,1,1,1,1,1,1,2,,2,,2,1,2,2,3,3,1,4,7,2,2,2,11,23,58,35,78,26,15,35,45,33,28,18,13,7,20,10,18,10,17,13,27,44,78,46
Syrian Arab Republic,93,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
Tahiti,156,0.02%,3,2,,1,,1,4,,,,,8,1,,1,,,2,1,,3,,2,,3,2,2,,2,6,3,2,8,11,1,4,2,3,4,9,4,3,,1,,2,,,1,1,1,,2,4,3,1,1,2,,1,5,2,2,2,3,5,2,10,4,,3,
Taiwan,20053,2.15%,,,,,,,,,,,,,,,,,1,,1,5,,,1,5,9,3,10,,10,10,4,11,7,7,11,12,16,22,16,17,26,18,41,560,1788,1250,682,1093,1008,1365,3207,1970,1624,1070,546,355,419,432,367,331,243,203,107,117,135,139,120,145,142,163,130,79
Tajikistan,27,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,,5,,2,,1,1,,3,,3,1,1,2,2
Tanganyika,121,0.01%,,,,,,,,1,,,,1,,,,,,,,1,3,,,,,2,,,7,2,1,2,2,6,5,4,6,2,2,9,3,4,6,3,5,8,3,2,2,4,2,11,5,1,,1,,1,,2,,,1,,,,,,,1,,
Tanganyika and Zanzibar,10,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,9,,
Tanzania,351,0.04%,1,,,,,,,,,,,,,,,,,,,,2,4,,2,3,1,3,8,15,12,11,9,7,6,1,2,,1,3,2,2,2,4,3,4,6,1,1,3,5,10,4,4,14,12,12,11,14,15,6,9,13,9,7,10,18,23,11,10,,12,3
Thailand,7476,0.80%,1,,,,,,,,,,1,,1,,1,,1,1,1,,1,1,2,2,3,7,3,6,7,22,6,9,18,18,21,22,42,39,59,50,93,121,124,104,132,182,178,119,137,144,272,271,218,250,237,280,290,253,210,166,165,131,222,255,288,292,287,318,402,452,292,246
The Gambia,14,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,1,3,,1,2,,,,,
The Netherlands,15220,1.64%,5,2,13,14,21,29,75,178,440,546,745,731,472,441,534,272,402,339,372,506,499,273,300,403,276,237,270,303,345,408,212,187,194,191,102,167,151,172,164,203,203,152,103,63,80,91,71,109,78,126,111,123,96,74,88,116,105,142,146,143,135,126,143,220,114,116,112,220,218,204,123,75
Tibet,23,0.00%,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,1,,2,1,,,1,3,,,,,,,1,1,,1,1,1,,1,,,1,,,1,2,,1,1,,
Togo,14,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,1,,1,,,,1,2,,,,,,,,1,,2,1,
Tonga,13215,1.42%,43,3,3,1,1,10,3,6,1,3,5,8,3,18,27,10,16,20,18,22,17,8,20,47,25,31,28,57,55,133,123,119,97,135,88,118,87,124,121,154,165,174,215,244,330,273,198,252,198,298,377,367,409,271,208,199,170,193,260,279,315,378,337,460,522,500,506,764,684,848,701,312
Transjordan,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Transkei,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Trinidad and Tobago,228,0.02%,4,,,,,,,,1,1,3,1,,,,2,,,1,2,2,1,2,2,1,3,3,3,8,14,6,5,3,7,4,10,7,1,2,15,6,5,7,2,2,5,2,6,1,1,3,3,2,1,3,5,3,6,1,5,5,2,4,4,3,1,2,3,6,1,4,10
Trucial States,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,89,0.01%,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,1,,3,,,,1,,,1,2,,3,,3,2,,3,1,3,2,6,3,3,8,6,6,5,4,3,1,1,,1,,2,3,1,1,,,4,2,1
Turkey,1108,0.12%,2,,,2,2,1,3,10,18,20,18,8,5,5,6,1,6,5,5,9,1,3,8,10,7,7,4,5,2,15,10,5,5,8,3,6,3,4,7,7,4,8,5,11,16,14,13,12,17,28,29,40,35,26,23,38,30,40,33,28,9,6,19,33,40,28,44,41,49,50,66,27
Turkmenistan,7,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,,3,,,,,,,,
Turks and Caicos,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,501,0.05%,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,3,,3,2,2,1,1,1,3,4,,2,5,2,3,1,,5,5,5,4,14,7,9,7,14,9,10,15,15,22,18,14,32,13,20,31,47,61,57,28
U.S.A.,10573,1.14%,29,3,1,6,6,7,3,2,6,6,,5,6,3,7,11,5,7,13,5,24,16,21,30,31,19,41,42,71,125,108,88,100,82,89,82,75,99,107,87,123,141,207,161,259,268,290,342,282,285,425,366,288,340,354,336,270,352,396,362,288,285,401,487,331,258,213,287,312,246,150,
Uganda,469,0.05%,,,,,,,,,,1,,,,,,,,1,,,2,1,1,,,1,7,10,35,62,29,5,15,12,8,6,14,8,6,5,5,8,14,7,6,5,5,1,4,3,3,5,4,5,3,3,7,6,7,9,6,10,12,5,23,19,9,4,10,11,10,11
Ukraine,1651,0.18%,,,,,,4,6,6,19,11,8,7,3,4,3,3,7,1,3,1,1,4,,2,2,,1,,,2,2,1,5,,,,,,,,,,,,,,,5,,17,136,135,91,59,69,78,111,105,64,39,35,24,33,45,55,55,63,64,91,76,51,44
United Arab Emirates,1136,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,1,2,1,,6,1,3,9,,3,7,32,54,49,90,55,36,50,49,66,57,97,38,27,33,23,22,36,47,27,42,64,54,51
United Arab Republic,31,0.00%,,,,,,,,,,,,,,,,,,,4,2,,5,5,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,7419,0.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1049,906,882,847,1099,1191,779,364,270
United States of America,2896,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,177,259,252,292,423,510,470,489
Unknown Country,4,0.00%,,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Volta,1,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,299,0.03%,1,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,2,,2,1,,,,,,,1,,1,,5,,1,,1,2,,1,2,1,2,2,1,6,3,5,1,6,24,24,24,24,42,16,36,26,19,14
USSR,2772,0.30%,2,1,,,1,8,7,20,31,40,19,18,2,13,7,1,5,7,3,7,8,2,2,11,8,6,7,6,6,79,61,28,37,36,62,24,14,4,22,4,34,8,8,5,14,70,72,56,154,267,274,181,204,40,32,40,45,33,38,29,12,15,26,44,53,37,50,66,63,98,66,19
Uzbekistan,206,0.02%,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,8,12,4,4,10,11,12,20,4,9,8,11,7,8,10,9,17,11,4,8,13
Vanuatu,85,0.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,4,1,,2,,,,,,2,3,1,,,4,3,4,5,6,10,4,1,2,7,5,6,5,7
Venezuela,226,0.02%,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,1,,1,1,2,4,,2,,,1,1,11,,4,1,,,3,4,2,1,4,4,10,3,3,2,6,6,12,4,2,3,4,6,7,12,12,15,16,20,16,15
Vietnam,9476,1.02%,,,,,,,,,,,,,,,,,1,1,,2,1,1,1,1,2,,4,7,20,79,71,30,283,182,667,566,465,309,199,215,231,229,180,138,324,484,257,175,124,157,181,82,86,213,214,164,229,215,218,154,143,101,94,138,172,200,202,214,311,304,246,189
Virgin Islands of the U.S.,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Wales,6757,0.73%,403,,4,2,4,7,8,11,17,12,4,14,7,3,1,3,3,8,5,11,12,10,5,11,22,70,81,100,287,217,117,108,214,230,126,132,155,144,203,260,222,173,121,117,119,95,92,98,98,70,141,116,114,78,85,71,83,105,121,120,90,83,158,144,120,109,105,114,158,163,152,91
Wallis and Futuna Islands,11,0.00%,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,2,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,
West Germany,479,0.05%,,,,,,,,1,,,,,,,3,1,1,1,1,,4,4,2,1,1,5,4,7,12,17,10,14,8,19,10,1,5,2,,,1,4,3,,6,1,24,32,36,28,76,64,35,3,1,4,5,,,,1,1,4,2,3,3,,1,3,2,2,
Western Samoa,45347,4.87%,51,3,3,2,5,4,6,5,5,3,14,27,40,31,40,50,67,61,117,87,155,97,86,184,153,129,117,138,151,551,313,259,316,813,4155,3609,1868,2083,2479,2686,2131,2145,1871,1751,1903,879,1212,1432,1501,1673,1657,1689,1551,726,371,146,132,164,210,147,153,132,110,132,157,73,68,70,83,72,43,
Yemen,136,0.01%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,,,,,,1,,,,,,,,2,,3,17,11,11,2,9,3,6,3,1,2,6,6,,2,1,11,6,1,1,6,10,6
Yugoslavia,6441,0.69%,39,27,21,20,23,24,20,24,51,54,46,72,29,33,37,22,38,43,55,33,93,49,76,112,130,90,58,104,89,183,123,71,61,42,30,21,30,29,33,51,51,45,29,33,51,92,71,177,503,847,804,427,196,188,293,136,76,91,45,16,18,16,4,18,5,3,10,2,4,1,1,2
Zaire,25,0.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,,,1,,1,,,,1,3,2,,2,3,3,,,,,,,1,,,,1,,,,1,1,,
Zambia,1449,0.16%,,,,,,,,,,,,,,,4,4,,1,3,5,3,2,,13,9,7,4,22,16,24,9,12,22,18,16,6,11,8,9,10,7,16,20,14,10,12,13,9,12,21,47,24,25,25,26,53,68,82,88,60,49,34,51,53,77,41,57,56,49,38,48,26
Zanzibar,3,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,8400,0.90%,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,2,18,8,1,2,4,2,9,6,8,6,10,8,8,6,9,9,15,14,21,29,102,98,395,539,776,864,626,343,249,619,687,601,546,453,444,333,234,177,116
TOTAL,930666,100.00%,18629,230,369,388,390,631,798,1129,1811,1920,1995,2321,1795,1654,1962,1464,1795,1370,1858,1856,2226,1579,1532,2491,2958,3817,5109,5678,13303,13114,7737,7099,9816,12970,11982,11637,10225,11204,12462,15707,13907,13067,11763,11791,18474,16522,13166,14609,15774,20221,34534,29685,23705,19622,18453,22255,24496,29351,29960,23626,18010,15178,19287,27221,27895,27891,27585,31956,36450,35737,31030,20434
